1979,16,0.005,96.9,0.032,2,25,M
1991,2,0.015,91,0.031,2,25,M
1979,14,0.031,28,0.024,1,25,M
1979,20,0.034,29,0.027,1,25,M
2008,6,0.005,85,0.037,0,25,M
1975,8,0.03,70,0.013,1,26,G
1975,12,0.032,57,0.01,1,26,G
1979,5,0.076,75,0.032,1,26,G
1979,2,0.024,57,0.02,1,26,G
1979,9,0.015,75,0.021,2,26,G
1991,4,0.026,82,0.016,2,26,G
1979,6,0.022,70,0.028,2,26,G
1979,5,0.036,73,0.024,1,26,G
2003,2,0.005,76,0.006,0,26,G
1979,12,0.013,76,0.031,2,26,G
1991,3,0.028,52,0.016,1,26,G
1975,24,0.019,36,0.024,1,26,G
1979,15,0.019,55,0.03,2,26,G
1979,1,0.085,72,0.021,1,26,G
1975,8,0.068,65,0.02,2,27,G
1979,10,0.012,81,0.018,2,27,G
1979,9,0.019,75,0.021,2,27,G
1979,6,0.026,73,0.026,1,27,G
1979,4,0.017,92,0.021,2,27,G
2008,5,0.005,81,0.003,0,27,G
2008,5,0.005,92,0.008,0,27,G
1979,1,0.013,75,0.014,2,27,G
1979,3,0.012,75,0.027,1,28,G
1979,7,0.018,67.9,0.019,2,28,G
1975,15,0.019,57,0.021,1,28,G
1991,1,0.029,73,0.015,1,28,G
2007,5,0.005,95,0.001,0,28,G
2007,3,0.005,82,0.003,0,28,G
2007,2,0.005,94,0.003,0,28,G
2010,2,0.005,53,0.001,0,28,G
1982,10,0.015,60,0.027,2,28,G
2010,6,0.005,88,0.003,0,28,G
